Datetime,Open,High,Low,Close,Volume,hours,adx,di_plus,di_minus,ema_9,ema_21,signal,return,cum_return,return_dollar
2005-01-03 09:30:00,87.061,87.1326,87.0109,87.1111,1251700,intraday,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-03 09:35:00,87.1111,87.2042,87.0968,87.1827,934900,intraday,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-03 09:40:00,87.1541,87.1684,87.0968,87.1326,865500,intraday,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-03 09:45:00,87.1326,87.1684,87.0753,87.0968,584700,intraday,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-03 09:50:00,87.1326,87.1326,87.018,87.018,621600,intraday,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-03 09:55:00,87.018,87.061,86.9965,87.0323,1715700,intraday,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-03 10:00:00,87.0395,87.1183,86.8605,86.8676,1905400,intraday,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-03 10:05:00,86.8676,86.9321,86.7244,86.7888,1276000,intraday,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-03 10:10:00,86.7888,87.0395,86.7674,86.7888,1080400,intraday,0.0,0.0,0.0,86.951401304064,,,0.0,0.0,0.0
2005-01-03 10:15:00,86.7888,86.8032,86.6169,86.6671,1332000,intraday,0.0,0.0,0.0,86.89454104325121,,,0.0,0.0,0.0
2005-01-03 10:20:00,86.6671,86.7387,86.6313,86.6456,1020500,intraday,0.0,0.0,0.0,86.84475283460097,,,0.0,0.0,0.0
2005-01-03 10:25:00,86.6456,86.6886,86.574,86.6456,2129500,intraday,0.0,0.0,0.0,86.80492226768078,,,0.0,0.0,0.0
2005-01-03 10:30:00,86.6456,86.7029,86.5668,86.5955,1887300,intraday,0.0,0.0,0.0,86.76303781414464,,,0.0,0.0,0.0
2005-01-03 10:35:00,86.6026,86.6026,86.4451,86.5238,1667900,intraday,0.0,0.0,0.0,86.71519025131572,,,0.0,0.0,0.0
2005-01-03 10:40:00,86.5238,86.5525,86.5095,86.5167,843700,intraday,0.0,0.0,0.0,86.67549220105258,,,0.0,0.0,0.0
2005-01-03 10:45:00,86.5167,86.5525,86.4665,86.5382,768200,intraday,0.0,36.665787092882965,9.472632689988291,86.64803376084207,,,0.0,0.0,0.0
2005-01-03 10:50:00,86.5453,86.5883,86.5167,86.5597,766300,intraday,0.0,35.232082911671654,11.057332230698362,86.63036700867366,,,0.0,0.0,0.0
2005-01-03 10:55:00,86.5668,86.8032,86.5095,86.5453,1227600,intraday,0.0,30.042726585673073,20.20593277819406,86.61335360693893,,,0.0,0.0,0.0
2005-01-03 11:00:00,86.5453,86.5453,86.309,86.309,733900,intraday,0.0,36.245602784639,17.91909338675963,86.55248288555114,,,0.0,0.0,0.0
2005-01-03 11:05:00,86.3018,86.3949,86.2947,86.3806,1126100,intraday,0.0,35.165729737915484,17.038497333775283,86.51810630844092,,,0.0,0.0,0.0
2005-01-03 11:10:00,86.3806,86.4236,86.3734,86.4093,995000,intraday,0.0,34.25741579748316,18.075108767449656,86.49634504675274,86.66721715018419,,0.0,0.0,0.0
2005-01-03 11:15:00,86.4093,86.4236,86.3734,86.4093,213200,intraday,0.0,33.33028697643813,17.58593134727024,86.4789360374022,86.64377013653107,,0.0,0.0,0.0
