Datetime,Open,High,Low,Close,Volume,hours,adx,di_plus,di_minus,ema_9,ema_21,signal,return,cum_return
2022-01-03 09:30:00,470.8523,471.6925,470.7534,471.5937,1766839,intraday,0.0,0.0,0.0,,,,0.0,0.0
2022-01-03 09:35:00,471.6036,472.2362,471.4256,471.8112,1131493,intraday,0.0,0.0,0.0,,,,0.0,0.0
2022-01-03 09:40:00,471.7914,471.9585,471.5369,471.6925,655983,intraday,0.0,0.0,0.0,,,,0.0,0.0
2022-01-03 09:45:00,471.7024,471.8112,469.1125,469.4387,1621843,intraday,0.0,0.0,0.0,,,,0.0,0.0
2022-01-03 09:50:00,469.4486,470.0318,468.4107,469.5771,2088058,intraday,0.0,0.0,0.0,,,,0.0,0.0
2022-01-03 09:55:00,469.5771,470.0911,469.0631,469.4749,1293325,intraday,0.0,0.0,0.0,,,,0.0,0.0
2022-01-03 10:00:00,469.4881,470.2691,469.3201,469.8144,973369,intraday,0.0,0.0,0.0,,,,0.0,0.0
2022-01-03 10:05:00,469.8242,470.0383,469.4288,469.7649,574766,intraday,0.0,0.0,0.0,,,,0.0,0.0
2022-01-03 10:10:00,469.7649,470.7238,469.7649,470.6052,733864,intraday,0.0,0.0,0.0,470.36654910464006,,,0.0,0.0
2022-01-03 10:15:00,470.6151,470.9512,470.3482,470.7139,694933,intraday,0.0,0.0,0.0,470.4360192837121,,,0.0,0.0
2022-01-03 10:20:00,470.704,470.7732,470.1109,470.7633,522422,intraday,0.0,0.0,0.0,470.5014754269697,,,0.0,0.0
2022-01-03 10:25:00,470.7436,471.2872,470.6151,471.2774,540952,intraday,0.0,0.0,0.0,470.65666034157584,,,0.0,0.0
2022-01-03 10:30:00,471.2675,471.307,470.1504,470.5459,717767,intraday,0.0,0.0,0.0,470.63450827326074,,,0.0,0.0
2022-01-03 10:35:00,470.536,470.7238,470.3383,470.5162,386750,intraday,0.0,0.0,0.0,470.61084661860866,,,0.0,0.0
2022-01-03 10:40:00,470.5261,470.882,470.3086,470.4371,312318,intraday,0.0,0.0,0.0,470.57609729488695,,,0.0,0.0
2022-01-03 10:45:00,470.4318,470.9017,470.279,470.8124,409848,intraday,0.0,27.929273224442646,17.119724475251694,470.6233578359096,,,0.0,0.0
2022-01-03 10:50:00,470.8325,470.8721,470.4964,470.6447,413966,intraday,0.0,27.07567494945718,16.59649685085679,470.6276262687277,,,0.0,0.0
2022-01-03 10:55:00,470.6447,470.793,470.4272,470.704,325840,intraday,0.0,26.82235001055427,16.081151655733283,470.64290101498216,,,0.0,0.0
2022-01-03 11:00:00,470.6941,470.7831,470.3284,470.4964,310587,intraday,0.0,26.619068843033617,15.439384165662853,470.61360081198575,,,0.0,0.0
2022-01-03 11:05:00,470.4767,470.7238,470.0516,470.1801,383527,intraday,0.0,27.488835489686146,14.517032268952113,470.52690064958864,,,0.0,0.0
2022-01-03 11:10:00,470.1702,470.2196,469.7353,469.8242,487164,intraday,0.0,29.164291990046916,13.87394871849749,470.3863605196709,470.607078682133,,0.0,0.0
