Datetime,MB,UB,LB,BB_Width,signal,return,cum_return,Adj Close
2022-06-29 09:30:00-04:00,,,,,,0.0,0.0,379.3999938964844
2022-06-29 09:35:00-04:00,,,,,,0.0,0.0,379.0400085449219
2022-06-29 09:40:00-04:00,,,,,,0.0,0.0,379.07000732421875
2022-06-29 09:45:00-04:00,,,,,,0.0,0.0,379.5400085449219
2022-06-29 09:50:00-04:00,,,,,,0.0,0.0,381.6000061035156
2022-06-29 09:55:00-04:00,,,,,,0.0,0.0,381.0718078613281
2022-06-29 10:00:00-04:00,,,,,,0.0,0.0,381.8399963378906
2022-06-29 10:05:00-04:00,,,,,,0.0,0.0,381.30010986328125
2022-06-29 10:10:00-04:00,,,,,,0.0,0.0,381.07000732421875
2022-06-29 10:15:00-04:00,,,,,,0.0,0.0,379.80999755859375
2022-06-29 10:20:00-04:00,,,,,,0.0,0.0,380.3699951171875
2022-06-29 10:25:00-04:00,,,,,,0.0,0.0,381.1199951171875
2022-06-29 10:30:00-04:00,,,,,,0.0,0.0,381.3450012207031
2022-06-29 10:35:00-04:00,,,,,,0.0,0.0,381.1099853515625
2022-06-29 10:40:00-04:00,,,,,,0.0,0.0,381.8340148925781
2022-06-29 10:45:00-04:00,,,,,,0.0,0.0,381.55999755859375
2022-06-29 10:50:00-04:00,,,,,,0.0,0.0,381.2799987792969
2022-06-29 10:55:00-04:00,,,,,,0.0,0.0,380.8399963378906
2022-06-29 11:00:00-04:00,,,,,,0.0,0.0,380.4200134277344
2022-06-29 11:05:00-04:00,380.7125473022461,382.4627569500774,378.9623376544148,3.5004192956625957,,0.0,0.0,380.6300048828125
2022-06-29 11:10:00-04:00,380.7560470581055,382.41444302273044,379.0976510934805,3.3167919292499164,,0.0,0.0,380.2699890136719
2022-06-29 11:15:00-04:00,380.80445709228513,382.30904929549985,379.2998648890704,3.0091844064294264,,0.0,0.0,380.0082092285156
2022-06-29 11:20:00-04:00,380.8309616088867,382.22717823642614,379.43474498134725,2.7924332550788904,,0.0,0.0,379.60009765625
2022-06-29 11:25:00-04:00,380.8504669189453,382.1834680794491,379.5174657584415,2.666002321007568,,0.0,0.0,379.93011474609375
2022-06-29 11:30:00-04:00,380.79296722412107,382.0904178905059,379.49551655773627,2.5949013327696093,,0.0,0.0,380.45001220703125
2022-06-29 11:35:00-04:00,380.7788772583008,382.07001452974794,379.4877399868536,2.582274542894311,,0.0,0.0,380.7900085449219
2022-06-29 11:40:00-04:00,380.6948776245117,381.91562242389114,379.4741328251323,2.441489598758835,,0.0,0.0,380.1600036621094
2022-06-29 11:45:00-04:00,380.6448715209961,381.8440970239348,379.4456460180574,2.398451005877405,,0.0,0.0,380.29998779296875
2022-06-29 11:50:00-04:00,380.63537139892577,381.8239378661259,379.44680493172564,2.377132934400265,,0.0,0.0,380.8800048828125
2022-06-29 11:55:00-04:00,380.67137145996094,381.7998565116595,379.54288640826235,2.2569701033971796,,0.0,0.0,380.5299987792969
2022-06-29 12:00:00-04:00,380.67162170410154,381.799841509759,379.5434018984441,2.2564396113149314,,0.0,0.0,380.375
2022-06-29 12:05:00-04:00,380.59899139404297,381.7878009823042,379.41018180578175,2.377619176522444,,0.0,0.0,379.6673889160156
2022-06-29 12:10:00-04:00,380.50024566650393,381.75124550431826,379.2492458286896,2.5019996756286673,,0.0,0.0,379.3700866699219
2022-06-29 12:15:00-04:00,380.4237457275391,381.70304651115623,379.14444494392194,2.558601567234291,,0.0,0.0,379.5799865722656
2022-06-29 12:20:00-04:00,380.2757797241211,381.5529542066946,378.9986052415476,2.554348965147028,Buy Put,0.0,0.0,378.87469482421875
